level,dimensions,kg,representation,prompt_type,temperature_label,cq_complexity,n_records,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Invalid_Predictions
kg__temperature_label,kg|temperature_label,kwg,,,temp0.0,,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__temperature_label,kg|temperature_label,no_kg,,,temp0.0,,180,0.1389,1.0,0.1389,0.2439,1.0,0.1389,0.2439,2
kg__cq_complexity,kg|cq_complexity,enslaved,,,,simple,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,core_scholar_rich,,,,simple,30,0.8,1.0,0.8,0.8889,1.0,0.8,0.8889,0
kg__cq_complexity,kg|cq_complexity,gmo,,,,simple,30,0.8,1.0,0.8,0.8889,1.0,0.8,0.8889,0
kg__cq_complexity,kg|cq_complexity,currkg,,,,moderate,30,0.8,1.0,0.8,0.8889,1.0,0.8,0.8889,0
kg__cq_complexity,kg|cq_complexity,kwg,,,,simple,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,gmo,,,,moderate,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,core_scholar_rich,,,,moderate,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,kwg,,,,moderate,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,enslaved,,,,complex,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,currkg,,,,complex,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,currkg,,,,simple,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,core_scholar_rich,,,,complex,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,enslaved,,,,moderate,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,gmo,,,,complex,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,kwg,,,,complex,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__cq_complexity,kg|cq_complexity,no_kg,,,,moderate,60,0.05,1.0,0.05,0.0952,1.0,0.05,0.0952,1
kg__cq_complexity,kg|cq_complexity,no_kg,,,,complex,60,0.3333,1.0,0.3333,0.5,1.0,0.3333,0.5,0
kg__cq_complexity,kg|cq_complexity,no_kg,,,,simple,60,0.0333,1.0,0.0333,0.0645,1.0,0.0333,0.0645,1
representation__prompt_type,representation|prompt_type,,ttl,0_shot,,,105,0.7333,0.8161,0.8278,0.7543,0.8424,0.7333,0.6874,0
representation__prompt_type,representation|prompt_type,,nen,0_shot,,,105,0.7143,0.795,0.8167,0.7244,0.8243,0.7143,0.6469,0
representation__prompt_type,representation|prompt_type,,axiom,0_shot,,,105,0.7143,0.8042,0.8167,0.7299,0.8322,0.7143,0.6516,1
